,playlist,id,name,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
204,Covers,4XlevPQOF6GkZCS2yWOkNn,Build Me Up Buttercup,Covers,0.721,0.0963,0,-15.973,1,0.0502,0.945,1.03e-06,0.133,0.576,124.868,audio_features,spotify:track:4XlevPQOF6GkZCS2yWOkNn,https://api.spotify.com/v1/tracks/4XlevPQOF6GkZCS2yWOkNn,https://api.spotify.com/v1/audio-analysis/4XlevPQOF6GkZCS2yWOkNn,166320,4
205,Covers,4XlevPQOF6GkZCS2yWOkNn,Build Me Up Buttercup,Covers,0.721,0.0963,0,-15.973,1,0.0502,0.945,1.03e-06,0.133,0.576,124.868,audio_features,spotify:track:4XlevPQOF6GkZCS2yWOkNn,https://api.spotify.com/v1/tracks/4XlevPQOF6GkZCS2yWOkNn,https://api.spotify.com/v1/audio-analysis/4XlevPQOF6GkZCS2yWOkNn,166320,4
206,Easy,4XlevPQOF6GkZCS2yWOkNn,Build Me Up Buttercup,Easy,0.721,0.0963,0,-15.973,1,0.0502,0.945,1.03e-06,0.133,0.576,124.868,audio_features,spotify:track:4XlevPQOF6GkZCS2yWOkNn,https://api.spotify.com/v1/tracks/4XlevPQOF6GkZCS2yWOkNn,https://api.spotify.com/v1/audio-analysis/4XlevPQOF6GkZCS2yWOkNn,166320,4
207,Easy,4XlevPQOF6GkZCS2yWOkNn,Build Me Up Buttercup,Easy,0.721,0.0963,0,-15.973,1,0.0502,0.945,1.03e-06,0.133,0.576,124.868,audio_features,spotify:track:4XlevPQOF6GkZCS2yWOkNn,https://api.spotify.com/v1/tracks/4XlevPQOF6GkZCS2yWOkNn,https://api.spotify.com/v1/audio-analysis/4XlevPQOF6GkZCS2yWOkNn,166320,4
208,Covers,4DDD2P6dJurAgk3IYWqK3p,How Deep Is Your Love,Covers,0.3,0.303,8,-12.089,1,0.0796,0.919,3.35e-06,0.0967,0.119,201.242,audio_features,spotify:track:4DDD2P6dJurAgk3IYWqK3p,https://api.spotify.com/v1/tracks/4DDD2P6dJurAgk3IYWqK3p,https://api.spotify.com/v1/audio-analysis/4DDD2P6dJurAgk3IYWqK3p,204653,4
209,Covers,6ZnzTxJDDbq7z45Hw53TMx,What A Wonderful World - Live Acoustic,Covers,0.596,0.079,0,-15.224,1,0.0537,0.993,0.00181,0.115,0.449,114.353,audio_features,spotify:track:6ZnzTxJDDbq7z45Hw53TMx,https://api.spotify.com/v1/tracks/6ZnzTxJDDbq7z45Hw53TMx,https://api.spotify.com/v1/audio-analysis/6ZnzTxJDDbq7z45Hw53TMx,131120,4
210,Covers,3wMJQ5qeN02ljNn3lRMVka,Habits,Covers,0.548,0.364,5,-9.465,1,0.0547,0.86,0.0,0.385,0.506,116.556,audio_features,spotify:track:3wMJQ5qeN02ljNn3lRMVka,https://api.spotify.com/v1/tracks/3wMJQ5qeN02ljNn3lRMVka,https://api.spotify.com/v1/audio-analysis/3wMJQ5qeN02ljNn3lRMVka,215866,4
211,Covers,6xKeQgzfjixSUld14qUezm,ily (i love you baby),Covers,0.706,0.112,2,-18.098,1,0.0391,0.827,4.03e-06,0.125,0.414,110.154,audio_features,spotify:track:6xKeQgzfjixSUld14qUezm,https://api.spotify.com/v1/tracks/6xKeQgzfjixSUld14qUezm,https://api.spotify.com/v1/audio-analysis/6xKeQgzfjixSUld14qUezm,129751,4
212,Covers,6H4TRMGGpq0BtQqjKGBFJy,Tyler Durden,Covers,0.797,0.0905,0,-16.793,1,0.0433,0.899,0.000292,0.11,0.726,120.115,audio_features,spotify:track:6H4TRMGGpq0BtQqjKGBFJy,https://api.spotify.com/v1/tracks/6H4TRMGGpq0BtQqjKGBFJy,https://api.spotify.com/v1/audio-analysis/6H4TRMGGpq0BtQqjKGBFJy,82000,4
213,Easy,2IAR0DziHCjSu16gR4ihvy,Nothing,Easy,0.555,0.27,2,-15.892,1,0.0884,0.931,0.536,0.103,0.274,139.691,audio_features,spotify:track:2IAR0DziHCjSu16gR4ihvy,https://api.spotify.com/v1/tracks/2IAR0DziHCjSu16gR4ihvy,https://api.spotify.com/v1/audio-analysis/2IAR0DziHCjSu16gR4ihvy,162797,3
